epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kpt_loss,train/shape_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kpt_loss,val/shape_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,824.404,1.16055,0.4869,1.05588,0.01706,0.00061,0.85258,0.72028,0.79013,0.5309,1.18418,0.5827,1.07751,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
29,850.702,1.15245,0.48507,1.05308,0.01785,0.00063,0.85865,0.71369,0.79264,0.538,1.16314,0.56941,1.06963,0,0,0.029076,0.009692,0.029076,0.009692,0.029076,0.009692,0.029076,0.009692
30,876.94,1.14723,0.48173,1.0538,0.01866,0.00065,0.88364,0.6954,0.7787,0.52744,1.18497,0.55901,1.0751,0,0,0.029043,0.009681,0.029043,0.009681,0.029043,0.009681,0.029043,0.009681
31,903.316,1.14347,0.47963,1.05123,0.01944,0.00067,0.88214,0.69497,0.7812,0.52516,1.18812,0.57,1.07861,0,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
32,929.102,1.1381,0.4774,1.05228,0.02013,0.00069,0.87512,0.68592,0.77395,0.5247,1.18836,0.57413,1.06825,0,0,0.028977,0.009659,0.028977,0.009659,0.028977,0.009659,0.028977,0.009659
33,955.214,1.13523,0.4774,1.05039,0.02097,0.00071,0.88251,0.69956,0.78052,0.53738,1.13903,0.5497,1.06304,0,0,0.028944,0.009648,0.028944,0.009648,0.028944,0.009648,0.028944,0.009648
34,981.055,1.13679,0.47616,1.04993,0.02186,0.00073,0.8733,0.70306,0.78082,0.53656,1.15271,0.55873,1.06252,0,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
35,1007.13,1.12716,0.47219,1.0471,0.02258,0.00075,0.84802,0.70312,0.77367,0.53302,1.14837,0.5689,1.06207,0,0,0.028878,0.009626,0.028878,0.009626,0.028878,0.009626,0.028878,0.009626
36,1032.91,1.1246,0.47072,1.04778,0.02333,0.00076,0.84183,0.70274,0.77547,0.53038,1.15701,0.56519,1.06126,0,0,0.028845,0.009615,0.028845,0.009615,0.028845,0.009615,0.028845,0.009615
37,1058.56,1.12214,0.46958,1.04641,0.02388,0.00078,0.86757,0.70772,0.78628,0.53284,1.19337,0.57858,1.07841,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
38,1084.53,1.11809,0.46804,1.04317,0.02479,0.0008,0.86975,0.70155,0.78479,0.52921,1.19363,0.57753,1.0746,0,0,0.028779,0.009593,0.028779,0.009593,0.028779,0.009593,0.028779,0.009593
39,1110.63,1.11759,0.46522,1.04324,0.02557,0.00081,0.86895,0.70386,0.78051,0.53444,1.1534,0.5478,1.06121,0,0,0.028746,0.009582,0.028746,0.009582,0.028746,0.009582,0.028746,0.009582
40,1136.3,1.11076,0.46313,1.04177,0.02622,0.00082,0.87319,0.70865,0.78888,0.53139,1.17025,0.56292,1.06472,0,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
41,1162.27,1.11521,0.46383,1.04227,0.0269,0.00083,0.87546,0.72069,0.80538,0.54566,1.16695,0.558,1.06769,0,0,0.02868,0.00956,0.02868,0.00956,0.02868,0.00956,0.02868,0.00956
42,1187.85,1.10461,0.46115,1.03914,0.02651,0.00081,0.85905,0.70738,0.78791,0.53946,1.15536,0.56203,1.06605,0,0,0.028647,0.009549,0.028647,0.009549,0.028647,0.009549,0.028647,0.009549
43,1213.84,1.10835,0.46123,1.04045,0.02638,0.0008,0.89051,0.71879,0.79576,0.54322,1.15075,0.53784,1.06081,0,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
44,1239.37,1.10832,0.46003,1.04037,0.02606,0.00078,0.87602,0.70578,0.78375,0.53962,1.13848,0.55268,1.05509,0,0,0.028581,0.009527,0.028581,0.009527,0.028581,0.009527,0.028581,0.009527
45,1265.22,1.0991,0.45711,1.03968,0.02568,0.00075,0.8767,0.72305,0.80163,0.54829,1.14291,0.53983,1.06059,0,0,0.028548,0.009516,0.028548,0.009516,0.028548,0.009516,0.028548,0.009516
46,1291.14,1.10048,0.45624,1.03748,0.02552,0.00075,0.87086,0.7209,0.79607,0.54565,1.1429,0.53887,1.0534,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
47,1317.31,1.09506,0.45603,1.03773,0.02532,0.00073,0.86404,0.70198,0.78031,0.53253,1.16708,0.56176,1.06391,0,0,0.028482,0.009494,0.028482,0.009494,0.028482,0.009494,0.028482,0.009494
48,1343.06,1.09084,0.45305,1.03444,0.02519,0.00072,0.86502,0.71613,0.79042,0.54061,1.14573,0.54585,1.05872,0,0,0.028449,0.009483,0.028449,0.009483,0.028449,0.009483,0.028449,0.009483
49,1369.03,1.09323,0.45367,1.03699,0.02498,0.0007,0.87996,0.72843,0.8061,0.54733,1.15479,0.53993,1.05993,0,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
